id,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
1732,chow mein noodles,257,9.9,1,3,5.9,37.5,0.5,5.9,1.5,0,0.5,0.7,0,0.3,48,0,0.2,3.3,0.3,29,0,0,1.3,80,11.2,28,2.6,29.1,0,90.2,67.2,86,0.8,68.6
1733,chinese noodles,456,94,88,85,72,111.9,0,0.2,0.7,0,88,17.4,0,0,0.2,32,0,0,0.3,0.1,31,0,0,0.2,0,32.5,0.1,2.8,3.9,0.1,41.6,13,44,112906
1734,vegetable macaroni cooked,172,0.1,37,79,11,35.7,1.5,6.1,5.8,0,15,91.6,0,0.2,45,0,52,1.4,0.5,79,0,0,0.3,45,14.7,0.1,0.7,25.5,1.3,67,41.5,82,0.6,63.1
1735,corn pasta dry,375,2.2,0.3,0.6,1,83.2,0,7.8,11.6,0,27,10.5,0,0.2,48,0,2,2.6,0.5,0.2,0,0,0,0,4.2,0.2,1,125,0.5,265.7,308.7,90,1.9,110.0
1736,egg noodles dry,146,1.7,0.4,0.5,0.5,27.1,0.7,5.4,1.3,31.9,95,3.4,86,30,29,47,39,0.8,0.3,60,0,83,0.1,26,13.3,0.1,0.7,22,0.3,91.6,92.7,16,0.7,49598
1737,whole wheat spaghetti dry,98,0.4,47,3,0.2,21.2,0,4.1,0,0,2,2.1,0,0.1,24,0,42,1.5,0.3,93,0,0,0,0,11.3,0.1,1,40.5,0.9,73,60.8,22,0.7,38.0
1738,japanese soba noodles dry,95,0.2,84,35,94,21.1,0,4.1,0,0,0.2,1.9,0,0.1,23,0,15,0.9,0.3,9,0,0,0,0,9.9,35,0.8,26.9,0.4,71.9,71.3,0,0.5,36.1
1739,rice noodles dry,103,0.2,53,67,90,23.6,0,1,0.5,0,6,3.4,0,62,91,0,30,32,62,17,0,0,0,0,5.1,79,0.2,3.4,0.1,43.3,8.5,53,0.2,30.6
1740,spinach spaghetti dry,105,0.4,97,15,0.2,21.2,0.8,3.8,3,0,94,2.4,0,0.1,7,0,90,1.3,0.3,87,0,0,0.2,67,16.4,0.1,0.6,49.2,0.7,94,106.4,68,0.8,45.4
1741,egg noodles cooked,110,1.7,0.3,0.5,0.4,20.1,0.3,3.6,1,23.2,27,54.2,7,29,0.2,12,11,0.1,1.7,0.2,29,0,0,0.1,0,9.6,51,1.2,16.8,0.3,60.8,30.4,66,26542
1742,japanese somen noodles cooked,231,0.3,6,62,0.1,48.5,0,7,0,0,0.3,119.5,0,29,39,0,46,0.2,0.3,51,0,0,0,0,14.1,82,0.9,3.5,0.4,47.5,51,0,0.4,70.8
1743,whole wheat macaroni dry,365,1.5,0.3,0.2,0.6,78.8,0,15.4,8.7,0,28,7.7,0,0.5,23,0,0.2,5.4,1,0.2,0,0,0,0,42,0.5,3.8,150.2,3.2,270.9,225.8,0,2.5,150.2
1744,pasta marinara and ground beef sauce,41,1.6,0.5,0.7,0.1,4.1,1,2.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
1745,macaroni raw,390,1.6,0.3,0.2,0.6,78.4,2.8,13.7,3.4,0,97,10.4,0,0.9,0.2,0,0.4,7.5,0.5,0.1,0,0,0.1,56,22.1,0.3,3.5,55.7,1,198.5,234.2,73,1.5,122.7
1746,spaghetti dry,105,0.4,45,43,0.2,21.1,0.8,3.7,0.9,0,90,2.8,0,0.3,61,0,0.1,2,0.1,84,0,0,64,89,5.9,47,0.9,15,0.3,53.5,63.1,11,0.4,32.9
1747,fusilli cucina,100,0.4,0.1,20.1,0.8,3.4,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
1748,japanese somen noodles dry,101,0.2,0,13,12,21,0,3.2,1.2,0,0.5,2.6,0,0,28,0,86,0.2,0.1,98,0,0,0,0,6.5,52,0.4,7.9,0.1,22.6,46.4,0,0.1,32.5
1749,pasta cooked,301,2.4,0.3,0.3,1,57.3,0,11.8,0,75.9,73,157.7,61,0.5,0.1,89,0.3,2.3,0.4,36,0,0,0,0,13.8,0.2,2.6,41.4,0.5,144.9,55.2,0,1.3,87985
1750,macaroni cooked,221,1.3,0.2,0.2,0.4,43.2,0.8,8.1,2.5,0,71,87,0,0,0.4,0.1,0,0.2,2.4,0.2,89,0,0,21,0,9.8,0.1,1.8,25.2,0.5,81.2,61.6,29,55217
1751,spinach egg noodles dry,145,1.7,0.4,0.5,0.4,26.7,0,5.6,2.6,36.1,96,3.3,0,0.4,83,100,0.2,2.5,0.3,0.2,0,0,0,0,21.3,25,1.6,31.2,0.4,73.3,134.9,0,0.7,59.5
1752,japanese soba noodles cooked,113,0.1,26,85,7,24.4,0,5.8,0,0,100,83.2,0,0.1,22,0,97,0.6,0.3,26,0,0,0,0,4.6,84,0.5,10.3,0.4,28.5,39.9,0,0.1,35.4
1753,rice noodles cooked,190,0.4,72,7,21,42.3,52,3.2,1.8,0,75,129.9,0,2,9,0,11,0.1,87,3,0,0,0,0,7,45,0.2,5.3,0.2,35.2,7,76,0.4,54.9
1754,whole wheat macaroni cooked,174,0.8,0.1,0.1,0.3,37.2,1.1,7.5,3.9,0,57,94,0,0.2,39,0,87,1,0.6,0.1,0,0,0.4,61,21,0.2,1.5,42,1.9,124.6,61.6,77,1.1,71.9
1755,spaghetti cooked,363,2.1,0.4,0.3,0.7,71,1.3,13.3,4.1,0,89,142.9,0,0,0.6,0.2,0,0.3,3.9,0.3,0.1,0,0,0.1,0,16.1,0.2,2.9,41.4,0.7,133.4,101.2,16,90.8
1756,whole wheat spaghetti cooked,174,0.8,0.1,0.1,0.3,37.2,1.1,7.5,6.3,0,91,94,0,0.2,81,0,43,1,0.6,0.1,0,0,0.4,83,21,0.2,1.5,42,1.9,124.6,61.6,28,1.1,74.3
1757,waffle,218,10.6,2.1,2.6,5.1,24.7,0,5.9,0,51.8,0.4,31.5,69,0.2,62,80,0.3,1.6,0.4,67,0.3,0,0,0,191.3,24,1.7,14.3,0.2,142.5,119.3,68,0.5,234547
1758,baked taco shell,61,2.7,0.8,0.8,0.9,8.3,0.2,0.8,0.9,0,4,0.8,0,90,38,0,48,0.2,0,89,0,0,94,69,12.5,43,0.2,11.1,92,30.4,30.1,97,0.2,25.4
1759,puff pastry,1367,94.3,13.5,21.6,54.5,112,1.8,18.1,3.7,0,0.6,18.1,0,0.8,0.1,0,0.6,9.3,0,62,0,0,1.3,30,24.5,0.3,6.4,39.2,1.2,147,151.9,51,1.3,259.0
1760,blueberry muffin,214,9.2,1.6,2.7,4.6,30.2,17.9,2.6,0.6,17.1,0.2,14.2,0.1,95,68,77,94,16,0.8,0.3,34,0.5,65,0.9,54,25.1,63,0.7,5.7,0.3,83.2,69,2,42915
1761,bread crumbs,427,5.7,1.3,1.1,2.2,77.7,6.7,14.4,4.9,0,0.8,7,0,1,0.1,21,0.4,7.2,0.6,0.1,0,0,11,5,197.6,0.3,5.2,46.4,1,178.2,211.7,79,1.6,305.5
1762,warm cinnamon roll mcdonalds,113,5.1,1.3,2.6,0.8,15,7,2,0.5,16.4,0.1,5.8,60,50,19,0,59,0.7,0.2,43,0,0,0.5,0,16.1,83,0.5,5.4,0.1,29.4,39.6,0,0.2,39264
1763,corn muffin,201,5.5,0.9,1.4,2.1,33.7,11.7,3.9,2.2,17.2,0.3,21.5,10,0.2,43,99,0.2,1.3,0.3,63,0,0,0.5,35,48.8,0.2,1.9,21.1,0.2,187.4,45.5,41,0.4,96069
1764,tortilla,467,1.9,0.6,0.4,0.8,98.4,5.4,14.3,4.7,0,0.9,78.7,0,0.7,0.2,0,0.2,8.1,0.3,0.1,0,0,0.4,28,137.9,0.2,7.5,37.4,0.5,287.6,206.9,11,0.6,264.7
1765,croutons seasoned,186,7.3,2.1,3.8,0.9,25.4,1.8,4.3,2,2.8,0.4,1.4,29,0.2,57,53,0.2,1.9,0.3,78,0,0,0.2,69,38.4,43,1.1,16.8,0.2,56,72.4,12,0.4,78.5
1766,buttermilk waffle,102,3.1,0.8,1.7,0.5,16,1.5,2.4,0.9,4.3,0.2,10.4,0.1,0.2,45,60,0.2,2.6,98,0.4,0,0,0.2,43,98.7,72,2.2,7.3,54,146.5,45.5,8,0.2,123.4
1767,flour tortilla,146,3.7,0.6,1.9,1.1,24.1,1.3,3.9,1.2,0,0.4,15.9,0,0.2,65,0,93,2.1,0.1,42,0,0,0.4,95,79.9,89,1.6,10.3,0.3,104.4,65.2,4,0.3,114.4
1768,glazed donut,55,3,1.2,0.9,0.5,6.2,3,0.8,0.3,3.9,82,2.9,98,2,62,77,61,0.3,59,21,0.2,16,0.2,25,13.1,70,0.3,2.2,86,15.2,13.3,56,31,23931
1769,corn tortilla,52,0.7,0.1,0.2,0.3,10.7,0.2,1.4,1.5,0,75,11,0,75,36,0,28,0.4,73,41,0,0,38,0,19.4,36,0.3,17.3,66,75.4,44.6,56,0.3,34.0
1770,muffin,169,6.5,1.2,1.6,3.3,23.6,0,3.9,1.5,22.2,0.3,21.5,78,0.2,94,28,0.2,1.3,0.2,10,0.2,0,0,0,114,42,1.4,9.7,0.2,87.2,69,23,0.3,151166
1771,croutons,33,0.5,0.1,0.2,0.1,5.9,0,1,0.4,0,35,0.4,0,47,61,0,78,0.4,73,60,0,0,0,0,6.1,68,0.3,2.5,93,9.2,9.9,26,93,14.2
1772,donut with jelly filling,289,15.9,4.1,8.7,2,33.2,17.9,5,0.8,22.1,0.4,30.3,44,0.3,86,81,0.1,1.8,0.7,50,0,0,0.4,12,21.3,0.1,1.5,17,0.2,72.3,67.2,9,0.6,77736
1773,sweet cinnamon rolls,309,13.6,2.6,4,6.2,42.2,26.3,5.1,2,54.8,0.3,20.6,39,0.3,3,73,0.2,2,0.3,85,1.7,0,1.7,88,59.8,34,1.3,14.1,0.2,63.1,92.1,85,0.5,125783
1774,oat bran muffin,46,1.3,0.2,0.3,0.7,8.2,1.4,1.2,0.8,0,67,6,0,28,90,0,49,24,0.2,26,0,0,0.1,35,10.7,82,0.7,26.7,0.4,63.9,86.2,35,0.3,22.9
1775,french cruller donut,169,7.5,1.9,4.3,0.9,24.4,14.4,1.3,0.5,4.5,0.1,7.3,2,5,62,61,57,0.9,20,52,0,0,58,36,10.7,84,1,4.9,18,50.4,32,70,0.1,45.42
1776,pancakes,86,3.7,0.8,0.9,1.7,10.8,0,2.4,0,22.4,0.2,20.1,25,82,31,30,0.1,0.6,0.2,69,0.1,0,0,0,83.2,49,0.7,6.1,60,60.4,50.2,30,0.2,100942
1777,chocolate donut,250,11.9,3.1,6.8,1.5,34.4,19.2,2.7,1.3,34.2,0.1,9.8,78,91,59,9,51,0.3,0.2,40,41,0,0.1,71,127.8,0.1,1.4,20.4,0.2,97.2,63.6,51,0.3,179637
1778,sweet cheese rolls,238,12.1,4,6,1.3,28.8,0,4.7,0.8,50.2,0.2,19.4,0,16,60,48,83,0.5,0.3,86,0.1,0,0,0,77.9,49,0.5,12.5,0.1,64.7,90.4,9,0.4,124.9
1779,eclair,234,19.2,11.5,5.4,1.1,11.2,2,4.4,0.4,121.5,0.1,54.4,0.2,0.1,20,56,0.2,0.7,0.4,5,0.2,40,0.7,47,31.5,34,0.9,7.2,0.1,67.5,63.9,91,0.4,68.0
1780,donut with cream filling,307,20.8,4.6,10.3,2.6,25.5,12.4,5.4,0.7,20.4,0.3,32.5,43,0.3,20,26,0.1,1.9,0.6,96,0,0,0.2,88,21.3,39,1.6,17,0.2,64.6,68,17,0.7,75331
1781,fruit toaster pastry,209,5.6,1.3,3.3,0.7,37.1,14.8,2.4,0.5,0,0.2,5.3,0.2,0.2,51,0,0.2,2.7,0.2,0.2,0,0,0.5,11,5.6,25,2,6.1,0.2,38.8,41.3,30,0.2,53.4
1782,donut,192,10.3,2.7,5.7,1.3,22.9,0,2.3,0.7,14.4,0.2,8.8,62,0.1,82,10,26,0.7,0.2,65,27,0,0,0,27,18,0.5,7.7,0.2,52.7,45.9,1,0.2,63823
1783,pancakes whole wheat,92,2.9,0.8,0.8,1.1,12.9,0,3.7,1.2,26.8,0.3,23.2,47,26,94,91,0.2,1,0.2,75,0.2,0,0,0,110,56,1.4,20.2,0.7,164.1,122.8,44,0.5,132377
1784,keikitos,196,10.6,0,0,0,22.3,10.8,2.9,0.5,0,0.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,26.5,95,1.1,5,11,107.1,37.8,33,0.2,63.9
1785,zwieback,30,0.7,0.2,0.3,0.1,5.2,0.9,0.7,0.2,0.6,50,0.3,63,31,7,2,0,4,2,79,10,0.4,0,0.2,41,1.4,83,60,1,0,3.9,21.4,23,7083
1786,chocolate coated donut,81,4.5,2.4,1.6,0.4,9.2,4.8,0.9,0.3,3.4,99,3,77,78,77,48,16,0.3,61,32,0.2,0,0.4,40,4.3,61,0.7,5.4,0.1,37.8,36.2,37,0.2,20.16
1787,waffle toasted,103,3.2,0.5,1.6,0.7,16.3,1.7,2.4,0.8,5,0.2,10.1,0.1,0.2,23,19,0.2,2.9,0.1,0.3,0,0,0.3,29,101.3,59,2.3,7.9,35,141.6,47.5,9,0.2,126.4
1788,cinnamon toaster pastry,206,7.1,1.8,4,0.9,34.1,0,2.6,0.5,0,0.2,5.4,0.1,0.2,63,43,0.3,2.3,0.1,0.2,17,0,0,0,17,88,2,12,0.2,66.5,57,22,0.3,63489
1789,wheat bran bread,89,1.2,0.3,0.6,0.2,17.2,3.5,3.2,1.4,0,0.2,13.6,0,0.1,82,0,0.1,1.6,0.2,79,0,0,0.1,69,26.6,3,1.1,29.2,0.6,66.6,81.7,57,0.5,50.7
1790,white bread,77,1,0.2,0.2,0.5,14.3,1.6,2.6,0.8,0,0.1,10.6,22,0,0.2,26,0,6,1.4,0.2,38,0,0,1,81,41.8,40,1,6.7,0.2,28.4,36.5,9,18931
1791,oat bran bread,71,1.3,0.2,0.5,0.5,11.9,2.3,3.1,1.4,0,0.1,13.2,90,0.2,66,0,0.1,1.4,0.2,8,0,0,0.1,75,19.5,80,0.9,10.5,0.2,42.3,44.1,71,0.3,38121
1792,whole wheat bread natures own,50,1,11,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1793,high protein bread dr zaks,152,3,0.5,15.3,2.5,15.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3
1794,wheat bread,79,1.3,0.2,0.2,0.5,13.8,1.7,3.1,1.2,0,0.1,10.2,39,0,0.1,54,0,90,1.6,0.2,62,26,0,24,26,36.3,66,1,11.9,0.3,37.4,40.9,39,19619
1795,egg bread toasted,117,2.4,0.6,1.1,0.4,19.5,0.7,3.9,0.9,20.7,0.2,10.5,96,0.1,66,91,0.2,1.8,50,4,0,1,0.1,63,37.7,5,1.2,7.8,0.2,43.3,46.6,46,0.3,65618
1796,butter toastbrot ja,66,0.9,0.6,12,0.8,2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
1797,vienna bread toasted,93,0.6,0.1,0.1,0.2,18,1,3.8,0.9,0,0.2,6,0,0.1,37,0,0.1,1.6,0.2,7,95,0,11,63,13.6,75,1.1,9,0.2,36.5,40.6,82,0.3,38073
1798,vienna bread,92,0.6,0.2,0.1,0.3,18.1,0.8,3.8,0.8,0,0.2,8.9,0,0.1,80,0,81,1.5,0.1,62,95,0,7,76,14.1,18,1.2,9,0.2,36.5,41,57,0.3,38633
1799,protein bread,47,0.4,9,91,0.2,8.3,0.3,2.3,0.6,0,8,7.6,0,0,43,0,83,0.8,0,25,0,0,3,7,23.6,91,0.8,12.4,0.3,35.2,61.2,85,0.3,36.0
1800,banana bread,186,6,1.3,2.6,1.8,31.1,0,2.5,0.6,24.5,0.2,16.6,68,78,73,35,0.1,0.8,0.2,37,1,0,0,0,12,4,0.8,8,0.1,33.1,76.4,96,0.2,54061
1801,rice bran bread,66,1.2,0.2,0.4,0.5,11.7,1.3,2.4,1.3,0,81,11.1,0,0.2,63,0,51,1.8,0.2,92,0,0,0.2,19,18.6,39,1,21.6,0.4,48.1,58.1,61,0.4,36.2
1802,white fibre wonder bread,95,1,0.2,0.2,0.5,18,2,3.5,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1803,focaccia,142,4.5,0.5,3.2,0.6,20.4,1,5,1,0,0.3,26.2,0,0.3,38,0,0.2,2.1,0.4,10,0,0,0.8,14,20,73,1.8,11.4,0.2,73,65,16,0.8,52.7
1804,oat bran bread toasted,70,1.3,0.2,0.5,0.5,11.8,2.3,3.1,1.3,0,0.1,10.4,70,0.1,35,0,46,1.3,79,23,0,0,0.1,84,19.2,49,0.9,9.2,0.2,31.3,33.2,80,0.3,37631
1805,rye bread,83,1.1,0.2,0.4,0.3,15.5,1.2,2.7,1.9,0,0.2,11.9,0,0.1,37,0,0.1,1.2,0.1,98,0.1,0,0.1,63,23.4,5,0.9,12.8,0.3,40,53.1,88,0.4,45.6
1806,wheat germ bread,73,0.8,0.2,0.4,0.2,13.5,1,2.7,0.6,0,0.2,10.4,0,0.1,59,72,0.1,1.3,0.1,86,33,0,0.1,90,24.9,57,1,7.8,0.2,33.9,71.1,85,0.3,43598
1807,protein bread toasted,46,0.4,59,82,0.2,8.2,0.2,2.2,0.6,0,49,5.8,0,36,23,0,67,0.7,30,60,0,0,69,25,23.1,45,0.8,9.5,0.1,32.1,58.8,15,0.2,35.3
1808,oatmeal bread,73,1.2,0.2,0.4,0.5,13.1,2.2,2.3,1.1,0,0.1,9.9,83,0.1,64,0,25,0.8,9,26,0,0,0.1,58,17.8,91,0.7,10,0.3,34,38.3,5,0.3,36227
1809,arepa,215,5.3,2.8,1.5,1,36.4,0.9,5.4,2.5,4.9,0.3,49.8,11,21,0,0,50,0.9,0.2,0.1,0,0,0.3,41,87.2,90,1,26.5,0.1,114.7,86.2,40,0.8,137897
1810,raisin bread toasted,86,1.4,0.3,0.7,0.2,16.5,1.8,2.5,1.4,0,0.1,8.1,0,27,77,0,0.1,1,1,65,0.1,0,13,89,20.9,99,0.9,8.1,0.2,34.2,71.3,13,0.2,43.7
1811,cracked wheat bread,74,1.1,0.3,0.5,0.2,14,0,2.5,1.6,0,0.2,10.1,0,0.1,11,0,42,1,0.1,80,0,0,0,0,12.2,74,0.8,14.7,0.4,43.3,50.1,55,0.4,32.2
1812,garlic bread,151,7.1,2.3,2,2.3,17.9,1.6,3.6,1.1,0,0.2,13.7,67,0.2,34,52,37,1.8,0.3,40,95,58,0.5,12,11.6,79,1.3,9.9,0.2,37.4,44.3,52,0.4,42646
1813,rye bread toasted,82,1,0.2,0.4,0.3,15.4,1.2,2.7,1.9,0,0.2,9,0,0.1,39,0,19,1.1,9,76,47,0,0.1,48,23.2,99,0.9,12.5,0.3,40,53.1,72,0.4,45128
1814,whole wheat bread,128,2.5,0.4,0.5,1.4,23.6,1.8,3.9,2.8,0,0.2,15,0,0.1,84,0,0.1,1.8,0.2,43,0,0,0.3,7,15.2,0.1,1.4,37.3,0.9,86,144.4,78,0.7,49.4
1815,whole wheat bread toasted,128,2.5,0.4,0.5,1.4,23.7,1.8,3.9,2.8,0,0.2,10.9,0,0.1,12,0,30,1.7,0.1,49,0,0,0.4,48,15.1,0.1,1.4,37.4,0.9,86.1,144.9,15,0.7,49.4
1816,pan dulce bread,231,7.3,1.4,2.2,1,35.5,7.9,5.9,1.4,18.9,0.1,13.6,48,0.2,38,82,0.1,2.2,0.4,58,0.8,0,0.2,49,54.2,45,1.8,15.1,0.3,59.2,64.9,14,0.5,106.92
1817,rice bran bread toasted,66,1.3,0.2,0.4,0.5,11.8,1.3,2.4,1.3,0,26,9,0,0.1,64,0,0,1.7,15,73,0,0,0.2,64,18.8,22,1,19,0.4,43.5,53,41,0.3,36.6
1818,pita bread whole wheat,74,0.7,0.1,53,0.3,15.4,0.2,2.7,2.1,0,0.1,8.6,0,83,68,0,73,0.8,0.2,28,0,0,0.2,76,4.2,16,0.9,19.3,0.5,50.4,47.6,46,0.4,26.0
1819,wheat germ bread toasted,73,0.8,0.2,0.4,0.2,13.6,1,2.7,0.6,0.3,0.2,7.3,0,11,84,63,22,1.1,63,76,30,0,0.1,92,25,59,1,9.5,0.3,43.8,71.3,8,0.4,43706
1820,pumpernickel bread,65,0.8,0.1,0.2,0.3,12.4,0.1,2.3,1.7,0,0.2,9.9,0,34,60,0,94,0.8,0.1,65,0,0,0.1,1,17.7,8,0.7,14,0.3,46.3,54.1,61,0.4,35.6
1821,frybread,502,18.6,7,6.7,1.6,73.4,3.1,10.2,0,10.6,0.5,48,0,0.7,0.2,0,0.3,7,0.2,92,0,0,0,58,86.6,0.1,6.1,27.4,0.5,187,117,94,0.5,194.9
1822,white bread toasted,83,1.1,0.2,0.2,0.6,15.4,1.3,2.5,0.7,0.3,0.2,8.6,0,0.1,5,0,70,1.1,10,77,0,0,14,94,33.7,30,0.9,7.4,0.1,29.1,37.1,11,0.2,54.3
1823,piki bread,109,2,0.2,0.5,0.5,20.2,0.4,2.5,2.6,0,28,2.5,0,23,0,0,93,0.8,0.2,0.2,0,0,0.2,78,51.5,40,1.7,50.7,0.5,104.7,169.1,19,1.1,80.5
1824,wheat bread toasted,75,1,0.2,0.2,0.4,13.4,1.5,3.1,1.1,0,0.1,5.8,0,0.1,48,0,45,1.5,0.1,68,8,0,87,86,39.6,15,1,14.2,0.3,45.1,53.5,79,0.4,59243
1825,pita bread,165,0.7,91,38,0.3,33.4,0.8,5.5,1.3,0,0.3,19.3,0,0.4,12,0,0.2,2.8,0.2,95,0,0,0.2,1,51.6,0.1,1.6,15.6,0.3,58.2,72,82,0.5,94.1
1826,potato bread,85,1,0,0,0,15.1,3,4,2,0,0.1,10.7,0,16,59,37,12,77,0.4,0.3,84,0,24,0.2,72,60.2,72,0.7,9,74,118.1,229.8,51,22272
1827,egg bread,115,2.4,0.6,0.9,0.4,19.1,0.7,3.8,0.9,20.4,0.2,13.9,95,0.2,66,9,0.2,1.9,0.1,6,0,87,0.1,78,37.2,84,1.2,7.6,0.2,42.4,46,77,0.3,64622
1828,oatmeal bread toasted,73,1.2,0.2,0.4,0.5,13.2,2.2,2.3,1.1,0,0.1,7.8,43,11,79,0,86,0.8,26,38,4,0,0.1,23,18,83,0.7,10.3,0.3,34.3,38.5,43,0.3,36622
1829,cheese bread,196,10,3,2.1,4.4,21.5,1,5,1,4.8,0.4,10.1,7,0.2,7,14,0.1,1.6,0.2,80,0,56,0.7,35,43.2,96,1.2,8.2,0.2,57.6,40.3,80,0.5,81937
1830,pumpernickel bread toasted,80,1,0.1,0.3,0.4,15.1,0.2,2.8,2.1,0,0.2,9.2,0,47,85,0,62,0.9,50,15,0,0,0.1,44,21.5,25,0.9,17.4,0.4,56.6,66.1,33,0.5,43.4
1831,raisin bread,88,1.4,0.3,0.7,0.2,16.7,1.8,2.5,1.4,0,0.1,10.8,0,0.1,37,0,0.1,1.1,0.1,3,52,0,50,32,21.1,32,0.9,8.3,0.2,34.9,72.6,96,0.2,44.09
1832,pumpernickel roll,77,0.8,0.1,0.2,0.3,14.8,0.1,3,1.5,0,0.1,9,0,0.1,27,0,18,0.8,0.2,28,0,0,0.2,54,18.8,67,0.8,15.1,0.5,47.9,58.2,69,0.4,39.7
1833,cinnamon raisin bagel,71,0.4,54,79,0.2,14.4,1.6,2.5,0.6,0,47,8.3,98,80,30,0,50,0.8,0.1,45,0.2,0,22,81,4.9,73,1,7.3,0.2,26,38.5,26,0.3,24016
1834,english muffin,127,1.1,0.2,0.2,0.5,25.5,0.9,5,2.6,0,0.2,24.1,0,0.2,54,0,0.2,1.9,0.2,18,0,0,0.3,94,101.5,40,1.6,21.1,0.3,61,106,18,0.6,137.3
1835,rye dinner roll,123,1.5,0.3,0.5,0.3,22.8,0.5,4.4,2.1,0,0.3,12.9,0,0.2,8,0,0.1,1.7,0.2,15,0,0,0.1,28,12.9,29,1.2,23.2,0.3,68.4,77.4,29,0.4,44.9
1836,english muffin whole wheat,134,1.4,0.2,0.3,0.6,26.7,5.3,5.8,4.4,0,0.2,30.2,0,0.2,91,0,3,2.3,0.5,0.1,0,0,0.3,78,174.9,0.1,1.6,46.9,1.2,186.1,138.6,29,1.1,214.8
1837,dinner roll whole wheat,74,1.3,0.2,0.3,0.6,14.3,2.4,2.4,2.1,0,0.1,9.3,0,1,32,0,32,1,0.1,70,0,0,0.3,85,29.7,50,0.7,23.8,0.6,62.7,76.2,91,0.6,50.5
1838,dinner roll,76,1.8,0.4,0.9,0.3,12.9,0.5,2.4,1.1,0,0.1,10.4,0,0.1,59,0,71,1.1,0.1,72,0,0,0.1,74,49.3,32,1,10.1,0.3,29.1,32.2,97,0.3,68.5
1839,hotdog roll,117,1.6,0.4,0.3,0.7,21.1,3.1,4.1,0.8,0,0.2,14.4,4,7,0.2,95,30,0.1,1.8,0,48,0.5,0,0.1,8,60.5,95,1.4,9.7,0.2,42.4,51.2,87,27796
1840,bagel,245,1.5,0,0.3,0.9,47.9,6,10,4,0,0.4,36.8,0,0,0.4,68,0,0.2,3.3,0.4,0.1,0,0,0.3,19,19.6,0.2,2.7,50,1.4,139.2,161.7,99,63783
1841,oat bran bagel,176,0.8,0.1,0.2,0.3,36.8,1.1,7.4,2.5,0,0.4,22.7,31,0.2,53,0,0.2,2,0.3,5,0.1,0,0.2,14,8.3,0.1,2.1,21.4,0.6,75.9,79.4,87,0.6,58051
1842,pain au chocolat de la boulangerie,235,12,27.6,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1843,egg bagel,72,0.5,0.1,0.1,0.2,13.8,0,2.8,0.6,6.2,0.1,8.5,12,0.1,16,64,64,0.9,0.2,53,0.2,0,0,0,3.4,90,1,6.5,0.1,21.8,17.7,88,0.2,22349
1844,english muffin toasted,140,1.1,0.3,0.2,0.5,27.4,1.8,5.4,1.5,0,0.2,17.1,0,0.3,41,74,0.1,2.6,0.2,51,0.9,0,0.2,2,102.4,51,2.4,14.6,0.3,55.6,67.1,57,0.7,141.1
1845,english muffin whole wheat toasted,135,1.4,0.2,0.3,0.6,26.9,5.4,5.9,4.5,0,0.2,25,0,0.2,89,0,45,2,0.3,24,0,0,0.3,47,175.7,0.1,1.6,47,1.2,187.3,139.1,99,1.1,216.0
1846,biscuit,357,16.5,4.4,7,4.2,45,2.2,7.1,1.5,3,0.6,29.2,0,0.4,6,11,0.3,3,0.3,60,0.2,0,0,0,237.4,48,2.9,18.2,0.4,165.6,122.2,3,0.5,310.6
